plot_id,estrato,bloco,composicao,riqueza,tem_CP,tratamento,plantadas,cp_yolo,cp_sam3_text,cp_sam3_bbox,cp_so_sam3,copa_area_media_m2,copa_area_mediana_m2,copa_area_min_m2,copa_area_max_m2,copa_area_std_m2,cp_total_mapeadas,cp_segmentadas,taxa_deteccao
P012,D7,1,"HI, CP, CE",3,1,sem reducao hidrica e fertlizacao ideal,33,8,0,7,0,6.0189371135318614,4.514189995344402,1.9548883054354214,16.474830541818278,4.78801900341455,8,7,24.2
P011,D12,1,High diversity (20 spp),20,1,fertilizacao_reduzida,5,1,0,1,0,3.2418732171161553,3.2418732171161553,3.2418732171161553,3.2418732171161553,,1,1,20.0
P010,D6,1,SR,1,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P009,D4,1,CE,1,0,fertilizacao_reduzida,0,2,0,2,0,6.1108235199291165,6.1108235199291165,3.0194784279796076,9.202168611878625,4.371822155010497,2,2,0.0
P008,D11,1,"HC, GU, CP, HI, SR, CE",6,1,reducao_hidrica,17,4,7,1,4,12.869235696593835,12.320486167445033,5.540204365130053,20.164764906131538,4.773785941351902,8,8,47.1
P007,D8,1,"HC, GU, CP",3,1,reducao_hidrica,33,12,9,7,4,7.972999639289775,7.760880687878958,1.2864815932610194,19.70469602167612,5.502794181619928,16,16,48.5
P006,D10,1,"SR, CE, HC",3,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P005,D9,1,"HI, SR, GU",3,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P004,D3,1,HC,1,0,fertilizacao_reduzida,0,2,0,2,0,5.194963957113449,5.194963957113449,3.523875274210573,6.866052640016326,2.3632762792894404,2,2,0.0
P003,D11,1,"HC, GU, CP, HI, SR, CE",6,1,sem reducao hidrica e fertlizacao ideal,17,6,4,3,1,6.431084359086047,6.686727517495965,3.9152412098919704,8.443102883549905,1.5024733153760979,7,7,41.2
P002,D9,1,"HI, SR, GU",3,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P001,D8,1,"HC, GU, CP",3,1,sem reducao hidrica e fertlizacao ideal,33,6,9,3,6,6.592139924407861,5.435136667949596,2.034484500725823,13.888781078391034,3.747356353079509,12,12,36.4
P013,D3,1,HC,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,1,0,7.273740468870255,7.273740468870255,7.273740468870255,7.273740468870255,,0,1,0.0
P014,D7,1,"HI, CP, CE",3,1,fertilizacao_reduzida,33,13,18,4,9,4.922130977209592,3.9841239152080883,1.1315314571715327,12.882691608221073,3.438458050586136,22,22,66.7
P015,D12,1,High diversity (20 spp),20,1,sem reducao hidrica e fertlizacao ideal,5,2,2,0,0,7.496207160665946,7.496207160665946,5.861968568279635,9.130445753052257,2.3111623815062377,2,2,40.0
P016,D5,1,HI,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P017,D4,1,CE,1,0,reducao_hidrica,0,4,1,3,0,6.04575165330302,6.150082348139565,2.516879146947368,9.365962769985584,2.830378266583982,4,4,0.0
P018,D1,1,CP,1,1,reducao_hidrica,100,9,9,6,6,4.524880267068919,3.336698002882788,0.42652631416352377,14.106735372874077,3.4494183017843763,15,15,15.0
P019,D5,1,HI,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P020,D6,1,SR,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P021,D8,1,"HC, GU, CP",3,1,fertilizacao_reduzida,33,18,16,5,4,5.221981779880532,4.993960196152803,1.888737899406771,15.076432527040202,2.733740942593771,22,21,66.7
P022,D10,1,"SR, CE, HC",3,0,fertilizacao_reduzida,0,1,0,1,0,3.775174915045042,3.775174915045042,3.775174915045042,3.775174915045042,,1,1,0.0
P023,D1,1,CP,1,1,fertilizacao_reduzida,100,32,1,32,1,2.810253801177275,2.726115757296317,0.8155913656193717,9.264184617657003,1.5773398587587466,33,33,33.0
P024,D11,1,"HC, GU, CP, HI, SR, CE",6,1,fertilizacao_reduzida,17,5,1,5,1,5.506750421787732,5.944872283851703,3.4606728756765515,6.540290334139728,1.1649017909481025,6,6,35.3
P036,D9,1,"HI, SR, GU",3,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P035,D4,1,CE,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P034,D10,1,"SR, CE, HC",3,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P033,D2,1,GU,1,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P032,D7,1,"HI, CP, CE",3,1,reducao_hidrica,33,12,19,3,9,6.976718075050894,5.224911396453098,1.7450248045349654,21.840671064430094,5.004258325741151,21,22,63.6
P031,D12,1,High diversity (20 spp),20,1,reducao_hidrica,5,1,2,1,2,7.635762047522441,7.731946021709158,0.31486155253657033,14.860478568321593,7.273285510011378,3,3,60.0
P030,D3,1,HC,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P029,D2,1,GU,1,0,reducao_hidrica,0,2,0,2,0,1.9135802528538823,1.9135802528538823,1.725878475637812,2.1012820300699526,0.2654503990204998,2,2,0.0
P028,D5,1,HI,1,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P027,D2,1,GU,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P026,D1,1,CP,1,1,sem reducao hidrica e fertlizacao ideal,100,8,0,7,0,3.1919625303820007,2.8491411322989144,1.9603529041791585,6.151053033335142,1.438977488683542,8,7,8.0
P025,D6,1,SR,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P132,D2,4,GU,1,0,fertilizacao_reduzida,0,3,4,0,1,9.156950854686041,7.93474121142706,5.983771598940471,14.77454939694957,3.926906153734726,4,4,0.0
P123,D6,4,SR,1,0,fertilizacao_reduzida,0,1,1,0,0,4.5337834579568215,4.5337834579568215,4.5337834579568215,4.5337834579568215,,1,1,0.0
P122,D8,4,"HC, GU, CP",3,1,fertilizacao_reduzida,33,23,31,1,10,6.419682859940112,5.249484115240092,1.6378696743938344,15.55922263782148,3.646008763022965,33,32,100.0
P121,D7,4,"HI, CP, CE",3,1,sem reducao hidrica e fertlizacao ideal,33,14,24,1,10,8.223709758671884,7.827893925183941,3.499751947152426,15.938257275509123,3.6508833151822815,24,25,72.7
P127,D2,4,GU,1,0,reducao_hidrica,0,4,3,1,0,4.242455076354009,4.490659864341047,2.844934829203174,5.143565747530768,1.0907930973035125,4,4,0.0
P126,D1,4,CP,1,1,reducao_hidrica,100,14,10,10,5,4.740959290688828,4.172005449126405,1.6521782949793131,13.94669547086557,2.8451501851360206,19,20,19.0
P125,D6,4,SR,1,0,reducao_hidrica,0,0,1,0,0,3.5261042555269904,3.5261042555269904,3.5261042555269904,3.5261042555269904,,0,1,0.0
P124,D12,4,High diversity (20 spp),20,1,fertilizacao_reduzida,5,4,3,1,0,5.737577043836027,4.847602422789967,3.2950092501058506,9.960094079658326,2.912140365814402,4,4,80.0
P110,D10,4,"SR, CE, HC",3,0,sem reducao hidrica e fertlizacao ideal,0,1,0,1,0,2.527520733975018,2.527520733975018,2.527520733975018,2.527520733975018,,1,1,0.0
P111,D2,4,GU,1,0,sem reducao hidrica e fertlizacao ideal,0,3,1,3,1,5.816463200535523,4.635202096930746,2.8405128182600885,11.154935790020511,3.676571072348524,4,4,0.0
P112,D12,4,High diversity (20 spp),20,1,sem reducao hidrica e fertlizacao ideal,5,6,3,3,0,5.199490753253512,4.039812490711194,2.5876689943116036,11.920914829579724,3.4464473076031,6,6,120.0
P113,D10,4,"SR, CE, HC",3,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P134,D5,4,HI,1,0,sem reducao hidrica e fertlizacao ideal,0,3,2,1,0,7.550421732881914,7.3298604603563025,7.011727338791498,8.309677399497941,0.6765013275859499,3,3,0.0
P135,D11,4,"HC, GU, CP, HI, SR, CE",6,1,fertilizacao_reduzida,17,11,12,0,1,4.863563460971896,4.32765663539597,2.907885569114202,8.52477407291934,1.7759346322950618,12,12,70.6
P109,D2,4,GU,1,0,fertilizacao_reduzida,0,1,0,1,0,5.381335535995986,5.381335535995986,5.381335535995986,5.381335535995986,,1,1,0.0
P136,D10,4,"SR, CE, HC",3,0,fertilizacao_reduzida,0,2,3,0,1,4.846835461223183,3.493424516908266,0.9282627635423215,10.11881910321896,4.742401537864141,3,3,0.0
P118,D4,4,CE,1,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P137,D7,4,"HI, CP, CE",3,1,reducao_hidrica,33,19,27,0,8,5.889694215884789,3.9534214983632507,1.2267305199917968,22.430020850581585,5.132007811820444,27,27,81.8
P119,D9,4,"HI, SR, GU",3,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P120,D3,4,HC,1,0,fertilizacao_reduzida,0,2,0,2,0,1.4411441191315426,1.4411441191315426,1.0343191216531618,1.8479691166099235,0.5753374289463264,2,2,0.0
P114,D5,4,HI,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P133,D8,4,"HC, GU, CP",3,1,sem reducao hidrica e fertlizacao ideal,33,18,24,3,9,6.528635332740586,5.763174374798819,2.6278248820812102,16.554786249935127,3.28627992105344,27,27,81.8
P115,D9,4,"HI, SR, GU",3,0,reducao_hidrica,0,0,1,0,0,12.185408121899993,12.185408121899993,12.185408121899993,12.185408121899993,,0,1,0.0
P142,D4,4,CE,1,0,fertilizacao_reduzida,0,1,1,1,1,8.404447921942793,8.404447921942793,5.742502372993121,11.066393470892466,3.7645594976233205,2,2,0.0
P116,D8,4,"HC, GU, CP",3,1,reducao_hidrica,33,19,29,2,14,7.422605747108611,5.992471815148058,0.9823335306873868,22.637783457611807,5.559446993561449,33,31,100.0
P143,D7,4,"HI, CP, CE",3,1,fertilizacao_reduzida,33,16,28,0,12,7.148522755167647,6.982193339480828,3.193159195141592,15.00035956035118,2.965636828643097,28,28,84.8
P117,D1,4,CP,1,1,sem reducao hidrica e fertlizacao ideal,100,48,86,0,38,3.113128913926991,2.8664516870449583,1.0083263260631692,8.373475698839206,1.3365295433274198,86,86,86.0
P144,D3,4,HC,1,0,sem reducao hidrica e fertlizacao ideal,0,3,2,1,0,3.585136302605013,3.513521298018869,2.2968930949788153,4.944994514817355,1.3255024760818546,3,3,0.0
P138,D11,4,"HC, GU, CP, HI, SR, CE",6,1,reducao_hidrica,17,11,14,0,3,7.614511576845471,6.446411001291213,3.0219950194439136,15.789598961562216,3.67124428833018,14,14,82.4
P139,D12,4,High diversity (20 spp),20,1,reducao_hidrica,5,2,1,1,0,2.6368127091903864,2.6368127091903864,1.793970252386822,3.4796551659939507,1.1919592333554603,2,2,40.0
P140,D4,4,CE,1,0,reducao_hidrica,0,4,1,2,0,4.557347021463341,3.5595853421395502,1.6899271677687466,8.422528554481726,3.4754318630405714,4,3,0.0
P141,D11,4,"HC, GU, CP, HI, SR, CE",6,1,sem reducao hidrica e fertlizacao ideal,17,7,16,0,8,11.07730828996538,9.885531068147703,4.386454999159027,19.526737049256525,4.296657054480331,15,16,88.2
P131,D6,4,SR,1,0,sem reducao hidrica e fertlizacao ideal,0,0,2,0,2,10.175837877371745,10.175837877371745,6.152455134421352,14.199220620322135,5.689922441698308,2,2,0.0
P130,D1,4,CP,1,1,fertilizacao_reduzida,100,41,65,1,25,3.506574872394281,2.879951402573351,0.7830913834899167,18.510645240767467,2.7824794140345976,66,66,66.0
P129,D9,4,"HI, SR, GU",3,0,sem reducao hidrica e fertlizacao ideal,0,1,0,1,0,4.414964386305143,4.414964386305143,4.414964386305143,4.414964386305143,,1,1,0.0
P128,D3,4,HC,1,0,reducao_hidrica,0,4,3,3,2,4.668528959223948,4.480485644548287,2.06374886506666,7.360239315261323,2.2816028233722436,6,6,0.0
P048,D1,2,CP,1,1,reducao_hidrica,100,17,9,15,7,3.6372400818831534,3.3595061250650384,0.0002160097882351182,8.790378704519313,2.0906184341809464,24,24,24.0
P042,D2,2,GU,1,0,sem reducao hidrica e fertlizacao ideal,0,4,0,4,0,3.243814587802454,3.281024191284974,2.212874889234458,4.20033507940541,0.8147763653265153,4,4,0.0
P061,D8,2,"HC, GU, CP",3,1,sem reducao hidrica e fertlizacao ideal,33,10,5,11,4,5.6938523856340195,4.810818549901918,0.47211257224154696,18.381344780763314,4.343907133193539,14,16,42.4
P043,D6,2,SR,1,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P064,D3,2,HC,1,0,sem reducao hidrica e fertlizacao ideal,0,0,1,0,1,6.979155453830897,6.979155453830897,6.979155453830897,6.979155453830897,,1,1,0.0
P046,D8,2,"HC, GU, CP",3,1,reducao_hidrica,33,18,12,11,4,7.511039196029761,7.326157475434984,2.6962042696251913,17.513823333399735,3.4445041817503217,22,23,66.7
P065,D12,2,High diversity (20 spp),20,1,fertilizacao_reduzida,5,2,2,1,1,7.231705719954081,7.042789268673609,2.2583173421556166,12.394010549033016,5.070486787790544,3,3,60.0
P047,D2,2,GU,1,0,reducao_hidrica,0,2,0,2,0,2.7994204737889747,2.7994204737889747,2.6753525111041725,2.9234884364737765,0.17545859548484624,2,2,0.0
P072,D5,2,HI,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P066,D3,2,HC,1,0,fertilizacao_reduzida,0,1,0,1,0,4.296109363075749,4.296109363075749,4.296109363075749,4.296109363075749,,1,1,0.0
P067,D9,2,"HI, SR, GU",3,0,sem reducao hidrica e fertlizacao ideal,0,0,0,0,0,,,,,,0,0,0.0
P068,D7,2,"HI, CP, CE",3,1,fertilizacao_reduzida,33,21,23,2,4,4.974039782719738,4.454834386459676,0.9478202752112642,11.02101716941465,2.3678904601110933,25,25,75.8
P070,D3,2,HC,1,0,reducao_hidrica,0,0,0,0,0,,,,,,0,0,0.0
P044,D2,2,GU,1,0,fertilizacao_reduzida,0,0,0,0,0,,,,,,0,0,0.0
P071,D7,2,"HI, CP, CE",3,1,reducao_hidrica,33,19,21,4,6,4.9978595614403005,3.896115113978914,1.1073721786225452,13.540736469385113,3.117667575894634,25,25,75.8
