estrato,n_parc,yolo,sam3t,sam3b,soSAM3,total,segm,area_med,plant,taxa_%
D1,12,300,344,98,141,441,442,3.8582708887089265,1200,36.8
D10,12,8,8,2,2,10,10,5.724200086449988,0,0.0
D11,12,83,101,28,45,128,129,8.106253608318527,204,62.7
D12,12,34,27,14,7,41,41,5.7730500843703325,60,68.3
D2,13,20,8,14,2,22,22,4.293184205357613,0,0.0
D3,12,15,6,13,3,18,19,4.147726332552247,0,0.0
D4,12,15,6,10,2,17,16,5.387736227015653,0,0.0
D5,11,10,4,7,1,11,11,4.9639504412117486,0,0.0
D6,12,6,12,2,7,13,14,6.6605043533156145,0,0.0
D7,12,174,233,27,87,261,260,6.147996061255757,396,65.9
D8,12,163,209,50,97,260,259,7.0004519371581075,396,65.7
D9,12,3,3,2,1,4,5,6.265715758579792,0,0.0
